template_id,creator_id,name,file_name,subject,header,footer,del_flg,create_date,update_date,discriminator_type
"1","1","注文受付メール","Mail/order.twig","ご注文ありがとうございます","この度はご注文いただき誠にありがとうございます。
下記ご注文内容にお間違えがないかご確認下さい。

","
============================================


このメッセージはお客様へのお知らせ専用ですので、
このメッセージへの返信としてご質問をお送りいただいても回答できません。
ご了承ください。

ご質問やご不明な点がございましたら、こちらからお願いいたします。

","0","2017-03-07 10:14:52","2017-03-07 10:14:52","mailtemplate"
"5","1","問合受付メール","Mail/contact.twig","お問い合わせを受け付けました",,,"0","2017-03-07 10:14:52","2017-03-07 10:14:52","mailtemplate"
